"V1","V2"
273,187
273.5,188
274,177
274.5,170
275,160
275.5,189
276,182
276.5,189
277,174
277.5,158
278,173
278.5,195
279,174
279.5,180
280,200
280.5,179
281,168
281.5,187
282,182
282.5,175
283,155
283.5,158
284,175
284.5,153
285,174
285.5,173
286,184
286.5,171
287,163
287.5,174
288,179
288.5,165
289,167
289.5,160
290,190
290.5,160
291,145
291.5,149
292,176
292.5,142
293,128
293.5,157
294,171
294.5,153
295,147
295.5,143
296,161
296.5,179
297,160
297.5,157
298,166
298.5,166
299,148
299.5,168
300,146
300.5,159
301,139
301.5,140
302,160
302.5,137
303,150
303.5,154
304,120
304.5,147
305,156
305.5,174
306,134
306.5,152
307,135
307.5,154
308,152
308.5,174
309,156
309.5,170
310,149
310.5,158
311,150
311.5,124
312,151
312.5,172
313,164
313.5,142
314,152
314.5,155
315,149
315.5,146
316,133
316.5,164
317,136
317.5,145
318,148
318.5,147
319,145
319.5,138
320,133
320.5,139
321,151
321.5,139
322,132
322.5,136
323,148
323.5,151
324,150
324.5,134
325,168
325.5,132
326,157
326.5,146
327,146
327.5,164
328,162
328.5,167
329,163
329.5,125
330,140
330.5,150
331,138
331.5,142
332,155
332.5,148
333,140
333.5,170
334,156
334.5,152
335,160
335.5,144
336,142
336.5,136
337,158
337.5,170
338,155
338.5,152
339,150
339.5,154
340,150
340.5,156
341,148
341.5,173
342,172
342.5,179
343,164
343.5,157
344,171
344.5,191
345,185
345.5,182
346,179
346.5,191
347,189
347.5,188
348,193
348.5,172
349,190
349.5,216
350,199
350.5,209
351,249
351.5,230
352,213
352.5,237
353,245
353.5,246
354,261
354.5,263
355,250
355.5,250
356,294
356.5,306
357,294
357.5,297
358,307
358.5,345
359,301
359.5,340
360,381
360.5,376
361,383
361.5,369
362,445
362.5,402
363,392
363.5,479
364,489
364.5,527
365,529
365.5,530
366,592
366.5,577
367,617
367.5,625
368,696
368.5,737
369,748
369.5,762
370,782
370.5,839
371,830
371.5,880
372,955
372.5,939
373,976
373.5,1112
374,1165
374.5,1194
375,1233
375.5,1266
376,1281
376.5,1391
377,1602
377.5,1545
378,1628
378.5,1644
379,1749
379.5,1799
380,1838
380.5,2026
381,2152
381.5,2215
382,2371
382.5,2394
383,2460
383.5,2667
384,2727
384.5,2856
385,3080
385.5,3197
386,3317
386.5,3499
387,3583
387.5,3740
388,4022
388.5,4190
389,4361
389.5,4613
390,4803
390.5,4867
391,5299
391.5,5525
392,5720
392.5,6074
393,6341
393.5,6661
394,6997
394.5,7378
395,7537
395.5,7914
396,8209
396.5,8689
397,8997
397.5,9303
398,9804
398.5,10080
399,10798
399.5,11210
400,11492
400.5,12170
401,12720
401.5,13455
402,14042
402.5,14622
403,15384
403.5,15880
404,16661
404.5,17280
405,18080
405.5,18788
406,19741
406.5,20104
407,21523
407.5,22291
408,23529
408.5,24319
409,25362
409.5,26466
410,27675
410.5,28741
411,30211
411.5,31173
412,32802
412.5,33763
413,35301
413.5,36612
414,38556
414.5,40200
