"V1","V2"
273,62895
274,62960
275,63734
276,63848
277,63501
278,63663
279,63621
280,62946
281,63103
282,62666
283,62230
284,61885
285,61410
286,60916
287,60115
288,59700
289,60023
290,59415
291,58678
292,58499
293,57827
294,57537
295,57133
296,56347
297,56208
298,58794
299,62600
300,68926
301,75623
302,83498
303,92953
304,103832
305,115638
306,129485
307,143672
308,159606
309,176773
310,196716
311,216866
312,240358
313,265634
314,292780
315,322765
316,354884
317,390442
318,428200
319,469632
320,515481
321,563030
322,614140
323,670221
324,729711
325,794853
326,861715
327,934944
328,1012091
329,1096689
330,1182960
331,1276048
332,1372819
333,1473930
334,1581364
335,1687255
336,1796831
337,1915527
338,2035467
339,2151937
340,2268314
341,2395025
342,2514628
343,2636692
344,2756053
345,2866799
346,2977979
347,3085124
348,3185203
349,3278630
350,3357301
351,3428670
352,3484622
353,3532568
354,3566513
355,3592014
356,3593673
357,3589038
358,3570661
359,3529708
360,3491032
361,3433311
362,3363770
363,3281894
364,3190434
365,3090969
366,2986690
367,2875071
368,2756561
369,2638343
370,2507295
371,2380547
372,2250826
373,2118179
374,1989685
375,1857856
376,1731109
377,1609540
378,1486279
379,1373186
380,1261504
381,1156284
382,1054065
383,959592
384,869399
385,786965
386,708131
387,637238
388,570084
389,511582
390,454959
391,406971
392,360227
393,320898
394,284762
395,252468
396,223216
397,198401
398,175749
399,155921
400,138836
401,123487
402,110255
403,99584
404,88826
405,79889
406,72606
407,65495
408,59985
409,55153
410,50513
411,46569
412,43746
413,40251
414,38156
415,36273
416,34956
417,33547
418,31880
419,31056
420,30440
421,29986
422,29493
423,29530
424,28894
425,28743
426,28434
427,28295
428,28636
429,27920
430,27928
431,28346
432,28073
433,27990
434,27705
435,27476
436,27278
437,27023
438,26769
439,25946
440,25603
441,25176
442,24546
443,24188
444,23680
445,22728
446,22468
447,21836
448,21564
449,21190
450,21096
451,21224
452,21292
453,21073
454,21400
455,21595
456,21865
457,22444
458,22771
459,23495
460,23850
461,24609
462,25086
463,26340
464,26543
465,27418
466,28201
467,29028
468,30061
469,30838
470,31887
471,32950
472,34250
473,35337
474,37043
475,37961
476,39497
477,41026
478,43156
479,44948
480,47079
481,49442
482,52484
483,54448
484,57842
485,60926
486,64051
487,67845
488,71780
489,75908
490,80547
491,85430
492,90769
493,96613
494,103625
495,110571
496,117580
497,125701
498,134028
499,142488
500,152141
501,163580
502,174562
503,186618
504,199914
505,214302
506,229039
507,246034
508,264630
509,284379
510,303755
511,326184
512,349694
513,375206
514,401882
515,430811
516,460027
517,491914
518,526936
519,563908
520,602450
521,643340
522,688988
523,736077
524,781432
525,834933
526,888993
527,943904
528,1002062
529,1060555
530,1121826
531,1183341
532,1245703
533,1311275
534,1374004
535,1437195
536,1505471
537,1562250
538,1626132
539,1680081
540,1728558
541,1776652
542,1826239
543,1865401
544,1901505
545,1931229
546,1957346
547,1972017
548,1982109
549,1980837
550,1970928
551,1950618
552,1922685
553,1888061
554,1845577
555,1799841
556,1744282
557,1679693
558,1610713
559,1534619
560,1460678
561,1381207
562,1295019
563,1209232
564,1118346
565,1030986
566,946467
567,861554
568,782785
569,703914
570,630498
571,559760
572,493748
573,431426
574,374806
575,323077
576,278263
577,237167
578,199525
579,167265
580,138464
581,114149
582,93306
583,75674
584,61766
585,50077
586,39733
587,32480
588,27039
589,22459
590,18990
591,16845
592,14900
593,14027
594,13380
595,13069
596,12904
597,13050
598,13334
599,13828
600,14300
601,14859
602,15493
603,16037
604,17012
605,17840
606,18426
607,19061
608,20042
609,20797
610,21848
611,22762
612,23363
613,24593
614,25510
615,26751
616,27753
617,28721
618,29797
619,30833
620,32108
621,33480
622,34676
623,35709
624,37166
625,38050
626,39830
627,41141
628,42587
629,43840
630,45339
631,46770
632,47814
633,49543
634,50907
635,52196
636,53746
637,55154
638,56684
639,57776
640,59526
641,61008
642,62419
643,63297
644,65531
645,65746
646,67994
647,68820
648,70495
649,71125
650,71754
651,73412
652,74304
653,75777
654,76785
655,77733
656,78592
657,79694
658,80739
659,81207
660,82325
661,82498
662,83290
663,83635
664,84092
665,85239
666,86020
667,85708
668,86437
669,86128
670,86186
671,86879
672,86156
673,86366
674,85795
675,85556
676,84958
677,84518
678,84187
679,83382
680,82892
681,82296
682,81910
683,80968
684,79940
685,78907
686,78160
687,76953
688,75228
689,74116
690,73403
691,71770
692,70407
693,68813
694,66928
695,66572
696,64688
697,62646
698,61310
699,59573
700,57936
701,56406
702,54416
703,53006
704,51312
705,49785
706,48283
707,46498
708,44764
709,42648
710,41569
711,39572
712,37870
713,36606
714,35354
715,33679
716,32177
717,31060
718,29556
719,28473
720,26817
721,25663
722,24707
723,23230
724,22158
725,21106
726,19879
727,19190
728,18039
729,16984
730,16064
731,15159
732,14307
733,13528
734,12807
735,11824
736,11337
737,10452
738,9975
739,9213
740,8736
741,8113
742,7810
743,7231
744,6892
745,6347
746,5803
747,5319
748,5179
749,4662
750,4486
751,4081
752,3857
753,3470
754,3291
755,2987
756,2800
757,2526
758,2400
759,2099
760,2004
761,1828
762,1678
763,1614
764,1401
765,1290
766,1242
767,1163
768,1070
769,992
770,883
771,817
772,793
