"V1","V2"
273,8
273.5,9
274,15
274.5,7
275,12
275.5,14
276,11
276.5,13
277,8
277.5,9
278,11
278.5,12
279,5
279.5,12
280,11
280.5,11
281,8
281.5,11
282,15
282.5,6
283,12
283.5,8
284,20
284.5,6
285,17
285.5,8
286,11
286.5,9
287,15
287.5,6
288,11
288.5,12
289,9
289.5,4
290,5
290.5,9
291,8
291.5,13
292,11
292.5,7
293,7
293.5,15
294,6
294.5,10
295,11
295.5,3
296,11
296.5,16
297,6
297.5,6
298,11
298.5,11
299,14
299.5,8
300,15
300.5,15
301,10
301.5,11
302,12
302.5,11
303,4
303.5,11
304,13
304.5,10
305,11
305.5,7
306,7
306.5,3
307,12
307.5,15
308,10
308.5,11
309,16
309.5,7
310,14
310.5,10
311,12
311.5,9
312,16
312.5,14
313,9
313.5,4
314,15
314.5,12
315,14
315.5,6
316,14
316.5,8
317,13
317.5,12
318,8
318.5,15
319,7
319.5,14
320,12
320.5,14
321,5
321.5,15
322,12
322.5,12
323,14
323.5,18
324,19
324.5,10
325,8
325.5,12
326,10
326.5,14
327,9
327.5,9
328,13
328.5,6
329,13
329.5,18
330,5
330.5,17
331,14
331.5,11
332,9
332.5,15
333,16
333.5,17
334,6
334.5,12
335,14
335.5,12
336,15
336.5,14
337,19
337.5,16
338,11
338.5,15
339,8
339.5,13
340,10
340.5,10
341,9
341.5,17
342,9
342.5,13
343,13
343.5,17
344,16
344.5,24
345,21
345.5,21
346,17
346.5,5
347,11
347.5,20
348,8
348.5,11
349,13
349.5,11
350,16
350.5,17
351,9
351.5,16
352,15
352.5,11
353,6
353.5,17
354,14
354.5,16
355,19
355.5,25
356,14
356.5,18
357,6
357.5,13
358,14
358.5,3
359,14
359.5,7
360,16
360.5,16
361,17
361.5,23
362,19
362.5,14
363,21
363.5,13
364,8
364.5,24
365,22
365.5,18
366,14
366.5,17
367,14
367.5,17
368,16
368.5,12
369,14
369.5,16
370,25
370.5,17
371,21
371.5,19
372,19
372.5,28
373,18
373.5,22
374,35
374.5,25
375,21
375.5,30
376,31
376.5,30
377,24
377.5,28
378,26
378.5,19
379,28
379.5,26
380,37
380.5,33
381,33
