"V1","V2"
273,55411
274,55908
275,56132
276,56578
277,56581
278,56735
279,56226
280,56577
281,56062
282,56056
283,56183
284,55954
285,55666
286,55623
287,55287
288,54930
289,55167
290,54044
291,54275
292,53595
293,54006
294,54062
295,53780
296,54483
297,56951
298,61938
299,67205
300,73592
301,80969
302,89435
303,99719
304,110062
305,121703
306,134827
307,149759
308,165938
309,183186
310,203112
311,223153
312,245417
313,270780
314,297184
315,326432
316,358512
317,392549
318,428494
319,468510
320,511647
321,556830
322,604826
323,656980
324,709266
325,766007
326,825185
327,886025
328,954741
329,1020944
330,1087676
331,1156328
332,1221371
333,1289749
334,1355668
335,1421668
336,1485386
337,1548349
338,1604482
339,1659416
340,1706829
341,1749601
342,1788873
343,1822292
344,1850458
345,1878518
346,1897094
347,1914685
348,1926830
349,1940554
350,1945081
351,1943829
352,1943418
353,1935328
354,1924313
355,1913168
356,1896742
357,1876316
358,1849739
359,1817629
360,1786689
361,1751044
362,1707793
363,1662539
364,1613281
365,1558435
366,1498118
367,1431571
368,1366833
369,1293935
370,1221486
371,1146518
372,1073941
373,997917
374,923532
375,847984
376,778738
377,711229
378,645590
379,584423
380,529191
381,477003
382,427346
383,383749
384,344438
385,309585
386,277195
387,248123
388,223624
389,200090
390,179096
391,161082
392,144411
393,128867
394,115844
395,104348
396,94195
397,84385
398,76093
399,68795
400,61524
401,55862
402,50054
403,45855
404,41090
405,37640
406,34269
407,31321
408,28671
409,26324
410,24096
411,22105
412,20482
413,18850
414,17673
415,16843
416,15768
417,14925
418,14099
419,13358
420,12913
421,12678
422,11845
423,11567
424,11342
425,11079
426,11107
427,10647
428,10526
429,10718
430,10460
431,10468
432,10638
433,10823
434,10610
435,10486
436,10445
437,10839
438,10941
439,10820
440,11007
441,11116
442,11263
443,11355
444,11781
445,12024
446,11920
447,12403
448,12738
449,12840
450,13285
451,13554
452,13902
453,14191
454,14855
455,15252
456,16031
457,16181
458,16721
459,17438
460,18217
461,18971
462,19767
463,20633
464,21474
465,22064
466,23001
467,23689
468,25096
469,26255
470,27568
471,28366
472,29751
473,30946
474,32170
475,33031
476,35163
477,36221
478,37742
479,39350
480,40917
481,42349
482,44136
483,46272
484,47051
485,49071
486,50308
487,51833
488,53500
489,54482
490,55885
491,57187
492,58227
493,59503
494,60774
495,61628
496,62596
497,64116
498,65033
499,65863
500,67177
501,66877
502,67807
503,68811
504,69124
505,69892
506,71242
507,71692
508,71823
509,72868
510,73481
511,74382
512,75224
513,76349
514,77668
515,78896
516,79825
517,80601
518,83304
519,85270
520,87794
521,89388
522,91890
523,95046
524,97908
525,101399
526,105132
527,109788
528,113664
529,118008
530,124227
531,130671
532,136914
533,143165
534,149829
535,158571
536,166284
537,175406
538,183478
539,192927
540,203443
541,213733
542,224135
543,235476
544,247228
545,259388
546,270079
547,281816
548,291627
549,303765
550,313148
551,323959
552,334456
553,344370
554,352647
555,357179
556,365884
557,369717
558,372898
559,373777
560,376139
561,375618
562,374841
563,371119
564,365573
565,358293
566,349086
567,337539
568,325654
569,312835
570,299388
571,283590
572,267647
573,249354
574,232680
575,214849
576,196709
577,179833
578,162666
579,146094
580,129667
581,114633
582,100199
583,87646
584,75551
585,64451
586,54354
587,45877
588,38359
589,32079
590,26456
591,22076
592,18566
593,15665
594,13322
595,11373
596,10251
597,9430
598,8515
599,8229
600,8025
601,7969
602,7840
603,7967
604,7998
605,8264
606,8379
607,8704
608,8904
609,8979
610,9246
611,9327
612,9846
613,9915
614,10142
615,10496
616,10590
617,10802
618,11201
619,11342
620,11514
621,11783
622,12147
623,12362
624,12626
625,12758
626,13049
627,13448
628,13734
629,13707
630,13854
631,14129
632,14598
633,14747
634,14949
635,14979
636,15213
637,15565
638,15604
639,15761
640,15953
641,16238
642,16418
643,16661
644,16668
645,17013
646,17276
647,17086
648,17482
649,17652
650,17639
651,18102
652,18171
653,18239
654,18258
655,18583
656,18652
657,18686
658,18962
659,18832
660,19016
661,19329
662,19080
663,19509
664,19497
665,19310
666,19647
667,19498
668,19569
669,19474
670,19497
671,19505
672,19576
673,19557
674,19403
675,19755
676,19785
677,19368
678,19387
679,19375
680,19112
681,19203
682,18877
683,18961
684,18650
685,18684
686,18428
687,18212
688,18198
689,17884
690,17849
691,17612
692,17245
693,17007
694,16490
695,16549
696,16271
697,15938
698,15691
699,15235
700,14726
701,14629
702,14206
703,13891
704,13668
705,13539
706,12840
707,12519
708,12252
709,12012
710,11548
711,11417
712,10881
713,10428
714,10336
715,9763
716,9520
717,9126
718,8803
719,8704
720,8155
721,7870
722,7483
723,7049
724,6906
725,6634
726,6446
727,6189
728,5700
729,5470
730,5271
731,4985
732,4807
733,4665
734,4330
735,4183
736,3780
737,3729
738,3534
739,3377
740,3163
741,2999
742,2715
743,2747
744,2599
745,2403
746,2205
747,2153
748,2008
749,1887
750,1750
751,1690
752,1599
753,1462
754,1366
755,1326
756,1249
757,1183
758,1067
759,1018
760,948
761,887
762,805
763,754
764,726
765,658
766,618
767,613
768,579
769,539
770,496
771,467
772,421
