"V1","V2"
273,244
274,277
275,253
276,237
277,239
278,246
279,216
280,233
281,243
282,253
283,245
284,242
285,225
286,269
287,240
288,225
289,217
290,217
291,234
292,259
293,227
294,248
295,233
296,231
297,235
298,200
299,214
300,233
301,248
302,239
303,292
304,314
305,325
306,362
307,427
308,433
309,481
310,532
311,630
312,678
313,728
314,826
315,894
316,1019
317,1117
318,1219
319,1352
320,1384
321,1618
322,1835
323,1947
324,2066
325,2253
326,2427
327,2721
328,2932
329,3167
330,3436
331,3631
332,3958
333,4407
334,4621
335,4936
336,5201
337,5591
338,6040
339,6411
340,6765
341,7487
342,7806
343,8199
344,8859
345,8990
346,9545
347,9936
348,10621
349,11241
350,11533
351,12111
352,12490
353,13146
354,13690
355,14153
356,14957
357,15103
358,15416
359,15993
360,16320
361,16825
362,16953
363,17297
364,17744
365,17732
366,17820
367,18352
368,18412
369,18284
370,18134
371,18224
372,17813
373,17869
374,17573
375,17064
376,17052
377,16438
378,16068
379,15643
380,15033
381,14461
382,14127
383,13466
384,12843
385,12677
386,12047
387,11280
388,10876
389,10505
390,9937
391,9573
392,9302
393,8669
394,8184
395,7849
396,7523
397,7081
398,6749
399,6515
400,6218
401,5835
402,5700
403,5487
404,5138
405,4912
406,4808
407,4504
408,4352
409,4165
410,4024
411,3835
412,3602
413,3462
414,3358
415,3347
416,3073
417,2952
418,2992
419,2751
420,2620
421,2607
422,2520
423,2417
424,2305
425,2299
426,2253
427,2214
428,2133
429,2140
430,2038
431,2021
432,1934
433,1996
434,1865
435,1909
436,1840
437,1850
438,1860
439,1753
440,1877
441,1828
442,1804
443,1821
444,1796
445,1780
446,1771
447,1887
448,1839
449,1874
450,1772
451,1903
452,1866
453,1839
454,1802
455,1821
456,1875
457,1872
458,1869
459,1879
460,1962
461,1935
462,1944
463,1955
464,1916
465,2010
466,2039
467,2053
468,2004
469,2085
470,2097
471,2126
472,2054
473,2091
474,2169
475,2224
476,2168
477,2330
478,2328
479,2323
480,2490
481,2535
482,2588
483,2567
484,2752
485,2769
486,2840
487,2885
488,3001
489,3055
490,3168
491,3231
492,3451
493,3591
494,3639
495,3783
496,3811
497,4035
498,4134
499,4376
500,4434
501,4542
502,4677
503,4870
504,4918
505,5259
506,5269
507,5469
508,5791
509,5953
510,6164
511,6529
512,6694
513,6871
514,7100
515,7403
516,7494
517,7807
518,8228
519,8368
520,8623
521,9296
522,9162
523,9744
524,10003
525,10321
526,10669
527,11079
528,11403
529,11536
530,12181
531,12480
532,12942
533,13080
534,13801
535,13970
536,14439
537,14882
538,15319
539,15529
540,15822
541,16153
542,16777
543,17123
544,17458
545,17747
546,18276
547,18480
548,18632
549,19174
550,19557
551,20020
552,20154
553,20220
554,20214
555,20790
556,21016
557,21358
558,21417
559,21483
560,21821
561,22109
562,22241
563,22008
564,22320
565,22257
566,21977
567,22232
568,22074
569,22277
570,22186
571,22155
572,22104
573,21870
574,21786
575,21447
576,21642
577,21296
578,21056
579,21492
580,21174
581,20926
582,20795
583,20788
584,20389
585,20232
586,20130
587,20140
588,19788
589,19690
590,19664
591,19568
592,19341
593,19085
594,19094
595,18938
596,18647
597,18767
598,18780
599,18590
600,18330
601,18154
602,18200
603,18208
604,18034
605,17861
606,17665
607,17672
608,17160
609,17120
610,17018
611,17309
612,17045
613,17003
614,16727
615,16579
616,16566
617,16560
618,16499
619,16017
620,15795
621,15643
622,15730
623,15426
624,15118
625,15088
626,15153
627,14771
628,14608
629,14550
630,14236
631,14223
632,13834
633,13765
634,13762
635,13358
636,13189
637,12851
638,12752
639,12587
640,12237
641,11997
642,12010
643,11621
644,11639
645,11089
646,11105
647,10997
648,10573
649,10497
650,10236
651,10063
652,10159
653,9681
654,9518
655,9473
656,9090
657,9138
658,8939
659,8806
660,8606
661,8195
662,8204
663,7852
664,8061
665,7771
666,7563
667,7506
668,7438
669,7106
670,6997
671,7196
672,6992
673,6899
674,6789
675,6615
676,6527
677,6453
678,6404
679,6476
680,6465
681,6317
682,6233
683,6310
684,6154
685,6247
686,6171
687,6086
688,6092
689,6167
690,6194
691,6033
692,6081
693,6213
694,6227
695,6139
696,6177
697,6245
698,6222
699,6263
700,6355
701,6386
702,6283
703,6289
704,6362
705,6447
706,6404
707,6356
708,6575
709,6646
710,6585
711,6535
712,6775
713,6605
714,6662
715,6680
716,6835
717,6998
718,6906
719,6987
720,7035
721,6881
722,6793
723,6842
724,7003
725,6993
726,7004
727,6833
728,6992
729,6986
730,7126
731,7011
732,7146
733,7085
734,6975
735,6976
736,7005
737,6942
738,6861
739,6978
740,6842
741,6994
742,6908
743,6978
744,6954
745,6975
746,6875
747,6809
748,6828
749,6802
750,6822
751,6751
752,6671
753,6690
754,6576
755,6491
756,6365
757,6298
758,6410
759,6321
760,6152
761,6158
762,5909
763,6032
764,5974
765,5790
766,5924
767,5648
768,5766
769,5698
770,5494
771,5427
772,5356
