"V1","V2"
324,1284
325,1646
326,1926
328,2232
329,2566
331,2984
333,3570
334,4158
335,4896
337,5862
339,6928
340,8100
342,9562
343,11428
345,13322
346,15534
348,18158
349,20936
351,24148
352,27832
354,31556
355,35816
356,40020
358,44802
359,49848
361,55054
363,59974
364,65544
366,71108
367,76342
368,81804
370,86960
371,92338
373,97636
375,103130
376,108408
377,113850
379,119916
380,126078
382,132814
383,139582
385,147814
387,155564
388,164192
389,172138
391,179396
392,187248
394,194338
396,200968
397,206358
398,210800
400,215090
402,218064
403,220556
404,222012
406,222752
408,222932
409,222952
410,221490
412,219908
413,218594
415,217174
417,215468
418,213820
419,212530
421,210474
422,207928
424,205400
426,201930
427,198192
429,193060
430,187222
431,180196
433,173198
434,165388
436,156546
437,148196
439,139428
440,131962
442,124648
443,118760
445,113592
446,108830
448,105764
450,103106
451,101076
452,99860
454,98316
455,97870
457,97288
459,96930
460,96882
461,96948
463,97558
464,98630
466,99890
467,101104
469,102538
470,104566
472,106558
473,108634
475,110732
476,112512
478,114680
479,115846
481,117192
482,118290
484,119294
485,119516
487,119824
488,119462
490,118772
491,117322
493,116086
494,113914
496,111726
497,109354
499,106760
501,103622
502,100210
503,96976
505,94334
506,90652
508,87246
509,84316
511,81918
512,79122
514,77136
515,74970
517,73518
518,72148
520,70985
521,70539
523,70196
524,69508
526,69770
527,69608
529,70020
530,70186
532,70400
533,70344
535,70328
536,70006
538,69806
539,69448
541,68462
542,67520
544,65974
545,64204
547,62498
548,60198
550,57164
551,54414
553,51324
554,47950
556,44324
557,40362
559,36422
560,32314
562,28564
563,24720
565,21054
566,17826
568,14878
569,12222
571,10216
572,8446
574,7062
575,5896
577,5090
578,4434
580,3970
581,3766
583,3388
584,3170
586,3008
587,2940
589,2854
590,2776
592,2780
593,2690
595,2720
596,2694
598,2740
599,2726
601,2752
602,2930
604,2890
605,2998
607,3072
608,3208
610,3302
611,3404
613,3504
614,3736
616,3904
617,4122
618,4328
620,4562
622,4812
