"V1","V2"
274,3869.57827
275,3862.51699
276,3873.1089
277,3911.06325
278,3938.42569
279,3934.01239
280,4032.87023
281,4070.82458
282,4061.99799
283,4044.3448
284,4057.58469
285,4236.76452
286,4137.90669
287,4117.60552
288,4105.24829
289,4117.60552
290,4199.69283
291,4212.93272
292,4181.15699
293,4193.51422
294,4224.40729
295,4296.78535
296,4292.37206
297,4218.22868
298,4227.05527
299,4347.97959
300,4376.22469
301,4492.73571
302,4677.2115
303,4876.6925
304,5051.45904
305,5398.34413
306,5906.75587
307,6222.74789
308,6860.02789
309,7389.62346
310,8252.86423
311,8862.78179
312,9792.22201
313,10734.01945
314,11606.96948
315,12870.0549
316,14213.46232
317,15503.91018
318,17327.48424
319,18730.02983
320,20997.58151
321,23029.46317
322,24996.91069
323,27320.06991
324,30039.54314
325,32845.51697
326,36335.55175
327,39997.70509
328,43448.90285
329,47171.95968
330,51994.80996
331,56743.51687
332,61458.68272
333,66631.06608
334,72330.39702
335,79159.53184
336,84844.74023
337,91740.0745
338,99307.11247
339,107152.18811
340,114843.68104
341,123656.15125
342,132699.87819
343,141431.14375
344,151785.61972
345,160807.28017
346,170866.06528
347,181360.88407
348,190716.18974
349,200556.07534
350,209327.06057
351,219096.33343
352,226714.56564
353,233775.83985
354,240064.78719
355,245032.3936
356,249152.6471
357,251483.75024
358,251926.8452
359,250773.20953
360,247711.2645
361,241862.76414
362,235141.31375
363,225926.35091
364,216092.64392
365,204170.56508
366,191071.01877
367,175470.89872
368,161254.78843
369,144877.92822
370,130140.16629
371,114310.55484
372,100090.91391
373,86091.93779
374,73482.26738
375,61787.91463
376,51616.14913
377,42388.82906
378,35575.58211
379,29284.86945
380,24569.7036
381,20630.39525
382,17892.38618
383,15505.6755
384,13580.59562
385,12631.7369
386,11846.17014
387,10998.81724
388,10571.61015
389,10444.50721
390,10321.81757
391,10013.76948
392,9878.72262
393,9818.70178
394,9812.52317
395,9686.30289
396,9548.60805
397,9656.29248
398,9439.1583
399,9499.17913
400,9475.34733
401,9335.0045
402,9383.55076
403,9228.20273
404,9376.48949
405,9369.42821
406,9578.61846
407,9625.3994
408,9641.28727
409,9786.92605
410,9804.57924
411,9836.35497
412,10164.70422
413,10077.32095
414,10530.12516
415,10837.29059
416,10819.6374
417,11016.47042
418,11077.37391
419,11329.81447
420,11539.00471
421,11659.04637
422,11626.38798
423,11701.41402
424,12067.71762
425,11776.44006
426,11644.04117
427,11915.01756
428,11617.56139
429,11474.57059
430,11156.81325
431,11079.13923
432,10786.09635
433,10655.46278
434,10351.82799
435,10278.56727
436,10123.21923
437,10035.83597
438,9985.52439
