"V1","V2"
273,21
273.5,25
274,10
274.5,17
275,13
275.5,7
276,19
276.5,14
277,20
277.5,10
278,9
278.5,14
279,20
279.5,14
280,12
280.5,18
281,17
281.5,11
282,19
282.5,19
283,6
283.5,19
284,10
284.5,19
285,14
285.5,24
286,12
286.5,8
287,10
287.5,14
288,11
288.5,12
289,9
289.5,15
290,9
290.5,17
291,13
291.5,14
292,15
292.5,17
293,10
293.5,16
294,14
294.5,20
295,13
295.5,15
296,10
296.5,15
297,18
297.5,16
298,13
298.5,18
299,18
299.5,20
300,15
300.5,11
301,14
301.5,14
302,19
302.5,15
303,17
303.5,11
304,23
304.5,13
305,23
305.5,16
306,16
306.5,14
307,20
307.5,20
308,12
308.5,11
309,15
309.5,9
310,17
310.5,26
311,11
311.5,19
312,14
312.5,8
313,10
313.5,12
314,16
314.5,21
315,7
315.5,3
316,9
316.5,12
317,9
317.5,12
318,4
318.5,19
319,10
319.5,13
320,10
320.5,13
321,16
321.5,17
322,9
322.5,12
323,13
323.5,18
324,18
324.5,21
325,17
325.5,14
326,8
326.5,17
327,17
327.5,18
328,14
328.5,11
329,12
329.5,8
330,13
330.5,13
331,11
331.5,14
332,17
332.5,25
333,16
333.5,22
334,15
334.5,13
335,13
335.5,23
336,11
336.5,12
337,17
337.5,16
338,16
338.5,14
339,10
339.5,17
340,20
340.5,20
341,20
341.5,17
342,20
342.5,16
343,26
343.5,21
344,17
344.5,19
345,19
345.5,17
346,16
346.5,19
347,26
347.5,18
348,23
348.5,20
349,14
349.5,16
350,15
350.5,25
351,16
351.5,29
352,17
352.5,17
353,25
353.5,19
354,33
354.5,25
355,20
355.5,28
356,32
356.5,27
357,30
357.5,38
358,32
358.5,41
359,25
359.5,34
360,24
360.5,28
361,29
361.5,43
362,42
362.5,42
363,40
363.5,37
364,32
364.5,34
365,46
365.5,36
366,30
366.5,46
367,55
367.5,39
368,63
368.5,59
369,52
369.5,63
370,63
370.5,71
371,47
371.5,60
372,74
372.5,54
373,69
373.5,71
374,64
374.5,79
375,64
375.5,74
376,68
376.5,63
377,68
377.5,73
378,102
378.5,86
379,102
379.5,83
380,87
380.5,113
381,110
381.5,109
382,95
382.5,111
383,126
383.5,115
384,131
384.5,114
385,125
385.5,147
386,136
386.5,164
387,142
387.5,147
388,174
388.5,172
389,203
389.5,179
390,189
390.5,179
391,172
391.5,230
392,217
392.5,224
393,248
393.5,238
394,220
394.5,236
395,272
395.5,289
396,265
396.5,286
397,317
397.5,330
398,333
398.5,363
399,360
399.5,376
400,375
400.5,413
401,372
401.5,419
402,427
402.5,420
403,455
403.5,496
404,506
404.5,511
405,552
405.5,519
406,582
406.5,584
407,618
407.5,634
408,674
408.5,670
409,709
409.5,723
410,794
410.5,803
411,823
411.5,860
412,913
412.5,912
413,971
413.5,997
414,1054
414.5,1067
415,1096
415.5,1190
416,1223
416.5,1232
417,1265
417.5,1277
418,1398
418.5,1416
419,1436
419.5,1500
420,1612
420.5,1655
421,1689
421.5,1702
422,1819
422.5,1933
423,1893
423.5,2085
424,2045
424.5,2046
425,2120
425.5,2251
426,2368
426.5,2467
427,2565
427.5,2630
428,2673
428.5,2654
429,2732
429.5,2869
430,3023
430.5,3116
431,3188
431.5,3332
432,3301
432.5,3480
433,3574
433.5,3727
434,3828
434.5,3927
435,4000
435.5,4176
436,4107
436.5,4341
437,4443
437.5,4609
438,4733
438.5,4813
439,4886
439.5,4932
440,5161
440.5,5206
441,5401
441.5,5406
442,5602
442.5,5644
443,5706
443.5,5800
444,5890
444.5,5938
445,6046
445.5,6222
446,6214
446.5,6429
447,6614
447.5,6744
448,6841
448.5,6934
449,7130
449.5,7135
450,7319
450.5,7397
451,7429
451.5,7587
452,7839
452.5,7999
453,7986
453.5,8178
454,8308
454.5,8567
455,8663
455.5,8666
456,8952
456.5,8950
457,9202
457.5,9285
458,9482
458.5,9871
459,9928
459.5,10228
460,10386
460.5,10545
461,10829
461.5,11032
462,11338
462.5,11782
463,11745
463.5,12137
464,12562
464.5,12723
465,13113
465.5,13407
466,13621
466.5,13968
467,14514
467.5,14851
468,14942
468.5,15383
469,15894
469.5,16321
470,16824
470.5,17053
471,17572
471.5,17962
472,18677
472.5,18649
473,19351
473.5,19707
474,20232
474.5,21205
475,21702
475.5,22088
476,22601
476.5,23299
477,23658
477.5,24259
478,25218
478.5,25870
479,26566
479.5,27193
480,27633
480.5,28592
481,29147
481.5,30142
482,30733
482.5,31654
483,32325
483.5,33161
484,34233
484.5,34774
485,35630
485.5,36332
486,37070
486.5,37953
487,38885
487.5,39830
488,40959
488.5,41871
489,42823
489.5,43862
490,45037
490.5,45851
491,46694
491.5,48223
492,48870
492.5,50052
493,51164
493.5,52298
494,54166
494.5,55114
495,56488
495.5,58095
496,59085
496.5,60529
497,62275
497.5,63771
498,65173
498.5,66654
499,68000
499.5,69904
500,71107
500.5,72861
501,74507
501.5,77065
502,78813
502.5,81218
503,82772
503.5,84858
504,87467
504.5,89731
505,91902
505.5,94367
506,97826
506.5,99678
507,102890
507.5,105835
508,108295
508.5,112329
509,115002
509.5,118314
510,122325
510.5,126075
511,129913
511.5,133782
512,137143
512.5,141449
513,146838
513.5,151186
514,155415
514.5,160044
515,165906
515.5,170678
516,176041
516.5,182014
517,187994
517.5,194121
518,200207
518.5,206186
519,213455
