"V1","V2"
273,3
274,10
275,16
276,15
277,5
278,10
279,5
280,4
281,15
282,16
283,14
284,19
285,9
286,7
287,11
288,15
289,8
290,14
291,8
292,14
293,9
294,20
295,8
296,13
297,8
298,10
299,11
300,13
301,4
302,9
303,7
304,8
305,11
306,17
307,7
308,11
309,14
310,14
311,15
312,12
313,13
314,8
315,10
316,19
317,13
318,12
319,10
320,7
321,10
322,10
323,16
324,14
325,12
326,10
327,11
328,10
329,5
330,13
331,9
332,17
333,6
334,7
335,8
336,10
337,9
338,8
339,14
340,9
341,18
342,9
343,12
344,18
345,16
346,6
347,12
348,17
349,18
350,10
351,4
352,8
353,17
354,18
355,7
356,8
357,14
358,18
359,18
360,12
361,13
362,9
363,11
364,11
365,12
366,12
367,14
368,8
369,11
370,12
371,16
372,14
373,9
374,14
375,19
376,9
377,22
378,13
379,8
380,9
381,13
382,11
383,16
384,12
385,24
386,15
387,12
388,15
389,11
390,10
391,15
392,13
393,7
394,23
395,21
396,13
397,10
398,11
399,11
400,11
401,8
402,11
403,14
404,15
405,15
406,12
407,23
408,17
409,23
410,10
411,14
412,8
413,8
414,18
415,14
416,18
417,13
418,17
419,13
420,19
421,17
422,13
423,27
424,12
425,12
426,14
427,10
428,22
429,19
430,21
431,16
432,23
433,16
434,14
435,17
436,16
437,12
438,14
439,28
440,21
441,9
442,19
443,18
444,19
445,16
446,20
447,13
448,11
449,8
450,19
451,25
452,19
453,12
454,13
455,14
456,21
457,18
458,11
459,13
460,13
461,21
462,11
463,13
464,22
465,30
466,20
467,21
468,22
469,28
470,13
471,15
472,24
473,16
474,21
475,25
476,21
477,13
478,23
479,25
480,24
481,23
482,26
483,21
484,23
485,21
486,36
487,25
488,24
489,23
490,20
491,23
492,19
493,24
494,25
495,27
496,15
497,36
498,21
499,20
500,28
501,17
502,31
503,24
504,39
505,37
506,26
507,33
508,36
509,34
510,37
511,32
512,41
513,35
514,33
515,22
516,38
517,31
518,46
519,42
520,33
521,40
522,36
523,34
524,27
525,25
526,47
527,33
528,36
529,36
530,35
531,37
532,30
533,40
534,44
535,45
536,38
537,48
538,26
539,30
540,32
541,42
542,48
543,43
544,47
545,38
546,46
547,50
548,40
549,56
550,45
551,43
552,46
553,40
554,41
555,42
556,49
557,50
558,45
559,55
560,42
561,47
562,47
563,50
564,49
565,64
566,58
567,61
568,69
569,61
570,62
571,60
572,63
573,77
574,61
575,62
576,65
577,56
578,60
579,60
580,77
581,72
582,77
583,65
584,76
585,93
586,76
587,62
588,78
589,78
590,75
591,77
592,96
593,93
594,77
595,83
596,86
597,89
598,87
599,105
600,90
601,98
602,90
603,93
604,83
605,117
606,84
607,96
608,102
609,112
610,117
611,104
612,102
613,86
614,109
615,123
616,115
617,102
618,115
619,113
620,111
621,127
622,154
623,156
624,132
625,127
626,130
627,136
628,147
629,158
630,158
631,153
632,152
633,182
634,138
635,154
636,153
637,167
638,161
639,176
640,163
641,188
642,155
643,182
644,163
645,210
646,182
647,222
648,216
649,207
650,253
651,225
652,225
653,232
654,264
655,239
656,276
657,271
658,269
659,275
660,281
661,298
662,286
663,293
664,274
665,321
666,308
667,348
668,347
669,348
670,369
671,353
672,372
673,366
674,392
675,401
676,390
677,406
678,425
679,391
680,454
681,485
682,472
683,504
684,535
685,549
686,506
687,562
688,538
689,538
690,611
691,632
692,622
693,579
694,709
695,692
696,731
697,746
698,748
699,763
700,724
701,816
702,805
703,865
704,881
705,881
706,915
707,923
708,970
709,980
710,1023
711,1050
712,1054
713,1144
714,1141
715,1148
716,1190
717,1249
718,1291
719,1305
720,1294
721,1297
722,1333
