"V1","V2"
273,152
274,137
275,129
276,120
277,125
278,124
279,122
280,127
281,120
282,129
283,119
284,132
285,105
286,117
287,122
288,118
289,109
290,99
291,107
292,124
293,110
294,103
295,119
296,109
297,115
298,94
299,120
300,103
301,133
302,104
303,116
304,139
305,131
306,205
307,169
308,188
309,199
310,233
311,235
312,248
313,298
314,320
315,330
316,348
317,397
318,464
319,448
320,505
321,588
322,615
323,658
324,791
325,842
326,861
327,960
328,1078
329,1157
330,1216
331,1286
332,1470
333,1589
334,1719
335,1776
336,1943
337,2174
338,2255
339,2481
340,2712
341,2963
342,3073
343,3417
344,3647
345,3807
346,4168
347,4441
348,4685
349,4905
350,5183
351,5571
352,5897
353,6146
354,6549
355,6969
356,7421
357,7453
358,7964
359,8350
360,8569
361,9042
362,9136
363,9609
364,9716
365,10033
366,10203
367,10352
368,10565
369,10636
370,10550
371,10571
372,10680
373,10675
374,10445
375,10401
376,10302
377,9955
378,9614
379,9273
380,9033
381,8833
382,8548
383,7954
384,7685
385,7320
386,6886
387,6434
388,6069
389,6069
390,5620
391,5236
392,5076
393,4624
394,4545
395,4228
396,4160
397,3891
398,3612
399,3352
400,3368
401,3150
402,2932
403,2836
404,2745
405,2635
406,2519
407,2360
408,2363
409,2125
410,2042
411,2029
412,1973
413,1989
414,1874
415,1817
416,1751
417,1664
418,1621
419,1619
420,1516
421,1449
422,1391
423,1403
424,1361
425,1337
426,1278
427,1280
428,1294
429,1227
430,1273
431,1278
432,1213
433,1151
434,1109
435,1113
436,1128
437,1102
438,1171
439,1094
440,1081
441,1198
442,1182
443,1160
444,1125
445,1151
446,1127
447,1207
448,1140
449,1197
450,1164
451,1201
452,1182
453,1235
454,1275
455,1199
456,1197
457,1233
458,1224
459,1303
460,1342
461,1288
462,1290
463,1420
464,1346
465,1353
466,1440
467,1363
468,1444
469,1442
470,1474
471,1504
472,1542
473,1529
474,1613
475,1609
476,1584
477,1696
478,1800
479,1814
480,1837
481,1883
482,1925
483,1989
484,2198
485,2231
486,2224
487,2360
488,2325
489,2441
490,2529
491,2585
492,2690
493,2863
494,2988
495,3028
496,3130
497,3425
498,3370
499,3473
500,3770
501,3876
502,3935
503,4131
504,4352
505,4388
506,4540
507,4764
508,4980
509,5230
510,5282
511,5509
512,5715
513,5898
514,6214
515,6362
516,6526
517,7041
518,7141
519,7410
520,7734
521,7930
522,8176
523,8539
524,8892
525,9154
526,9432
527,9794
528,10079
529,10394
530,10797
531,11282
532,11534
533,12107
534,12052
535,12616
536,12813
537,13171
538,13687
539,14041
540,14340
541,14557
542,14919
543,15617
544,15742
545,16067
546,16343
547,16657
548,16821
549,17532
550,17762
551,17758
552,18355
553,18347
554,18623
555,18791
556,19373
557,19586
558,19506
559,19794
560,19890
561,19970
562,20001
563,20123
564,20109
565,20191
566,20672
567,20417
568,20341
569,20150
570,20287
571,20256
572,20271
573,20281
574,20377
575,20128
576,20223
577,20192
578,19804
579,19904
580,19766
581,19700
582,19639
583,19489
584,19382
585,19292
586,19174
587,19080
588,19045
589,19038
590,18830
591,18758
592,18700
593,18510
594,18368
595,18417
596,18160
597,18103
598,18029
599,17862
600,17758
601,17771
602,17747
603,17446
604,17354
605,17414
606,17285
607,17158
608,16987
609,16950
610,17021
611,17063
612,16925
613,16662
614,16307
615,16603
616,16231
617,16328
618,16015
619,15708
620,15781
621,15750
622,15637
623,15545
624,15001
625,15317
626,14989
627,14835
628,14788
629,14598
630,14463
631,14184
632,14117
633,13935
634,13448
635,13529
636,13143
637,13098
638,12765
639,12566
640,12773
641,12323
642,12157
643,11900
644,11686
645,11289
646,11342
647,11167
648,10850
649,10731
650,10512
651,10469
652,10189
653,10178
654,9921
655,9716
656,9484
657,9480
658,9234
659,9037
660,8757
661,8565
662,8552
663,8233
664,8207
665,8044
666,7888
667,7757
668,7622
669,7514
670,7434
671,7338
672,7370
673,7143
674,6910
675,6804
676,7166
677,6862
678,6779
679,6840
680,6736
681,6628
682,6645
683,6467
684,6574
685,6473
686,6501
687,6459
688,6364
689,6266
690,6325
691,6514
692,6340
693,6290
694,6366
695,6368
696,6519
697,6460
698,6416
699,6524
700,6490
701,6535
702,6586
703,6580
704,6569
705,6780
706,6747
707,6689
708,6871
709,7003
710,6905
711,6837
712,6865
713,7133
714,7045
715,7064
716,7150
717,7090
718,7237
719,7248
720,7308
721,7429
722,7582
723,7147
724,7439
725,7395
726,7458
727,7515
728,7492
729,7461
730,7610
731,7566
732,7809
733,7642
734,7467
735,7596
736,7606
737,7753
738,7741
739,7672
740,7684
741,7752
742,7663
743,7521
744,7575
745,7650
746,7613
747,7675
748,7416
749,7632
750,7286
751,7441
752,7407
753,7651
754,7435
755,7368
756,7546
757,7300
758,7094
759,7236
760,7088
761,7234
762,7069
763,7210
764,7093
765,7083
766,6956
767,6998
768,6762
769,6755
770,6816
771,6766
772,6688
