"V1","V2"
273,9
273.5,6
274,9
274.5,4
275,14
275.5,13
276,16
276.5,7
277,9
277.5,11
278,14
278.5,16
279,14
279.5,15
280,22
280.5,9
281,17
281.5,7
282,7
282.5,10
283,16
283.5,10
284,9
284.5,9
285,14
285.5,11
286,18
286.5,9
287,7
287.5,14
288,10
288.5,11
289,10
289.5,12
290,14
290.5,5
291,13
291.5,13
292,10
292.5,9
293,10
293.5,19
294,16
294.5,7
295,8
295.5,7
296,9
296.5,9
297,15
297.5,8
298,15
298.5,13
299,3
299.5,8
300,5
300.5,16
301,24
301.5,6
302,19
302.5,13
303,7
303.5,6
304,9
304.5,13
305,15
305.5,3
306,12
306.5,11
307,11
307.5,11
308,10
308.5,10
309,13
309.5,19
310,20
310.5,15
311,12
311.5,8
312,8
312.5,13
313,11
313.5,10
314,12
314.5,15
315,15
315.5,12
316,17
316.5,13
317,8
317.5,12
318,10
318.5,6
319,11
319.5,20
320,11
320.5,15
321,14
321.5,12
322,11
322.5,9
323,16
323.5,5
324,7
324.5,8
325,10
325.5,14
326,11
326.5,16
327,9
327.5,12
328,6
328.5,7
329,7
329.5,15
330,14
330.5,10
331,15
331.5,5
332,14
332.5,6
333,15
333.5,9
334,10
334.5,2
335,10
335.5,17
336,16
336.5,9
337,8
337.5,14
338,12
338.5,16
339,9
339.5,6
340,9
340.5,10
341,15
341.5,13
342,14
342.5,8
343,15
343.5,8
344,10
344.5,5
345,13
345.5,10
346,9
346.5,14
347,13
347.5,13
348,11
348.5,15
349,15
349.5,12
350,13
350.5,21
351,10
351.5,9
352,8
352.5,8
353,9
353.5,12
354,15
354.5,11
355,11
355.5,19
356,12
356.5,9
357,13
357.5,15
358,16
358.5,5
359,8
359.5,16
360,16
360.5,12
361,11
361.5,23
362,15
362.5,8
363,15
363.5,21
364,12
364.5,28
365,18
365.5,14
366,17
366.5,10
367,14
367.5,6
368,6
368.5,17
369,13
369.5,11
370,20
370.5,15
371,8
371.5,7
372,18
372.5,15
373,22
373.5,23
374,17
374.5,28
375,14
375.5,14
376,20
376.5,15
377,29
377.5,18
378,16
378.5,21
379,19
379.5,38
380,28
380.5,14
381,34
381.5,37
382,25
382.5,27
383,26
383.5,24
384,25
384.5,24
385,23
385.5,26
386,32
386.5,25
387,33
387.5,40
388,19
388.5,28
389,39
389.5,33
390,50
390.5,34
391,31
391.5,51
392,36
392.5,29
393,48
393.5,45
394,52
394.5,51
395,48
395.5,65
396,44
396.5,54
397,69
397.5,68
398,52
398.5,70
399,74
399.5,70
400,56
400.5,56
401,71
401.5,79
402,75
402.5,90
403,73
403.5,95
404,100
404.5,113
405,124
405.5,108
406,103
406.5,100
407,133
407.5,145
408,145
408.5,143
409,157
409.5,169
410,184
410.5,181
411,192
411.5,168
412,170
412.5,209
413,201
413.5,234
414,227
414.5,230
415,304
415.5,238
416,275
416.5,295
417,303
417.5,314
418,329
418.5,329
419,380
419.5,378
420,421
420.5,387
421,418
421.5,432
422,438
422.5,459
423,489
423.5,486
424,529
424.5,551
425,584
425.5,589
426,646
426.5,657
427,665
427.5,704
428,732
428.5,731
429,832
429.5,798
430,871
430.5,921
431,855
431.5,998
432,989
432.5,1032
433,1078
433.5,1125
434,1187
434.5,1214
435,1204
435.5,1249
436,1404
436.5,1317
437,1497
437.5,1504
438,1634
438.5,1539
439,1676
439.5,1734
440,1760
440.5,1794
441,1761
441.5,1921
442,1948
442.5,2014
443,2052
443.5,2164
444,2186
444.5,2286
445,2328
445.5,2440
446,2604
446.5,2522
447,2668
447.5,2626
448,2759
448.5,2766
449,2896
449.5,2941
450,3074
450.5,3114
451,3182
451.5,3330
452,3355
452.5,3389
453,3482
453.5,3505
454,3493
454.5,3699
455,3663
455.5,3791
456,3824
456.5,3940
457,4063
457.5,4035
458,4241
458.5,4216
459,4327
459.5,4433
460,4467
460.5,4612
461,4501
461.5,4534
462,4652
462.5,4785
463,4771
463.5,4729
464,4728
464.5,4933
465,4987
465.5,4940
