"V1","V2"
273,23
273.5,18
274,27
274.5,16
275,15
275.5,17
276,18
276.5,19
277,24
277.5,15
278,25
278.5,25
279,22
279.5,16
280,13
280.5,18
281,21
281.5,32
282,26
282.5,25
283,20
283.5,30
284,17
284.5,25
285,23
285.5,19
286,19
286.5,15
287,15
287.5,13
288,20
288.5,19
289,16
289.5,17
290,11
290.5,12
291,16
291.5,11
292,14
292.5,18
293,13
293.5,19
294,17
294.5,15
295,7
295.5,16
296,18
296.5,18
297,16
297.5,15
298,14
298.5,9
299,22
299.5,13
300,11
300.5,20
301,19
301.5,20
302,26
302.5,23
303,18
303.5,14
304,24
304.5,28
305,22
305.5,18
306,34
306.5,19
307,13
307.5,18
308,13
308.5,17
309,14
309.5,13
310,18
310.5,26
311,20
311.5,21
312,21
312.5,16
313,14
313.5,16
314,13
314.5,15
315,19
315.5,15
316,11
316.5,19
317,21
317.5,19
318,21
318.5,20
319,15
319.5,21
320,22
320.5,29
321,14
321.5,19
322,26
322.5,18
323,15
323.5,23
324,16
324.5,21
325,24
325.5,24
326,17
326.5,18
327,37
327.5,28
328,30
328.5,26
329,29
329.5,22
330,30
330.5,18
331,25
331.5,26
332,19
332.5,27
333,26
333.5,29
334,44
334.5,35
335,38
335.5,34
336,27
336.5,42
337,49
337.5,42
338,31
338.5,41
339,42
339.5,38
340,51
340.5,50
341,43
341.5,50
342,42
342.5,69
343,71
343.5,59
344,69
344.5,64
345,82
345.5,76
346,72
346.5,65
347,76
347.5,88
348,91
348.5,100
349,107
349.5,105
350,91
350.5,89
351,108
351.5,115
352,123
352.5,148
353,151
353.5,141
354,140
354.5,151
355,154
355.5,181
356,191
356.5,176
357,232
357.5,184
358,219
358.5,229
359,229
359.5,258
360,281
360.5,278
361,302
361.5,290
362,284
362.5,315
363,332
363.5,377
364,376
364.5,402
365,450
365.5,445
366,418
366.5,479
367,508
367.5,531
368,566
368.5,581
369,607
369.5,621
370,666
370.5,682
371,724
371.5,738
372,816
372.5,884
373,904
373.5,997
374,938
374.5,1003
375,1127
375.5,1124
376,1205
376.5,1227
377,1415
377.5,1396
378,1478
378.5,1523
379,1609
379.5,1712
380,1746
380.5,1817
381,1905
381.5,2000
382,2089
382.5,2184
383,2305
383.5,2367
384,2552
384.5,2705
385,2909
385.5,3026
386,3007
386.5,3263
387,3371
387.5,3527
388,3652
388.5,3918
389,3933
389.5,4214
390,4565
390.5,4580
391,4847
391.5,5232
392,5422
392.5,5711
393,5820
393.5,6181
394,6562
394.5,6589
395,7016
395.5,7424
396,7775
396.5,8053
397,8736
397.5,8873
398,9366
398.5,9842
399,10087
399.5,10783
400,11175
400.5,11670
401,12163
401.5,12850
402,13373
402.5,14153
403,14633
403.5,15204
404,15980
404.5,16470
405,17442
405.5,18059
406,18854
406.5,19903
407,20725
407.5,21752
408,22742
408.5,23525
409,24542
409.5,25736
410,27072
410.5,28131
411,29637
411.5,30523
412,32045
412.5,33690
413,34887
413.5,36471
414,38340
414.5,39806
415,41951
415.5,43595
416,44794
416.5,47093
417,49160
417.5,51118
418,53283
418.5,56175
419,58342
419.5,60733
420,63154
420.5,66193
421,68599
421.5,71686
422,74871
422.5,77312
423,80753
423.5,83897
424,87601
424.5,91278
425,94694
425.5,98733
426,102774
426.5,106769
427,111544
427.5,114763
428,119735
428.5,124851
429,129719
429.5,135076
430,140960
430.5,145569
431,150686
431.5,156402
432,161985
432.5,168516
433,174174
433.5,181415
434,188036
434.5,194600
435,202231
435.5,208631
436,216996
436.5,224230
437,231476
437.5,240227
438,248428
438.5,256681
439,266615
439.5,274431
440,283201
440.5,294450
441,303683
441.5,312983
442,323204
442.5,333249
443,344971
443.5,354544
444,366493
444.5,377196
445,388929
445.5,401137
446,412093
446.5,425926
447,437277
447.5,450995
448,464327
448.5,477867
449,491880
449.5,504400
450,520517
450.5,534146
451,548875
451.5,563405
452,579931
452.5,594690
453,610202
453.5,625986
454,643302
454.5,660251
455,675433
455.5,694683
456,711551
456.5,730140
457,747389
457.5,764849
458,784013
458.5,801958
459,821597
459.5,839029
460,860744
460.5,878716
461,897100
461.5,918956
462,938677
462.5,960209
463,981642
463.5,1e+06
464,1020000
464.5,1040000
465,1060000
465.5,1080000
466,1110000
466.5,1130000
467,1150000
467.5,1170000
468,1200000
468.5,1220000
469,1240000
469.5,1260000
470,1280000
470.5,1310000
471,1330000
471.5,1350000
472,1370000
472.5,1390000
473,1410000
473.5,1440000
474,1460000
474.5,1480000
475,1500000
475.5,1530000
476,1550000
476.5,1570000
477,1590000
477.5,1610000
478,1630000
478.5,1650000
479,1670000
479.5,1690000
480,1710000
480.5,1730000
481,1750000
481.5,1770000
482,1790000
482.5,1810000
483,1830000
483.5,1850000
484,1870000
484.5,1890000
485,1900000
485.5,1920000
486,1940000
486.5,1950000
487,1970000
487.5,1990000
488,2e+06
488.5,2020000
489,2040000
489.5,2050000
490,2060000
490.5,2080000
491,2100000
491.5,2110000
492,2120000
492.5,2130000
493,2150000
493.5,2160000
494,2180000
494.5,2190000
495,2200000
495.5,2220000
496,2230000
496.5,2240000
497,2250000
497.5,2260000
498,2270000
498.5,2280000
499,2290000
499.5,2310000
500,2320000
500.5,2330000
501,2340000
501.5,2350000
502,2360000
502.5,2370000
503,2380000
503.5,2390000
504,2400000
504.5,2410000
505,2420000
505.5,2430000
506,2430000
506.5,2440000
507,2450000
507.5,2460000
508,2460000
508.5,2470000
509,2480000
509.5,2480000
510,2490000
510.5,2490000
511,2500000
511.5,2500000
512,2510000
512.5,2510000
513,2510000
513.5,2520000
514,2520000
514.5,2520000
515,2520000
515.5,2520000
516,2520000
516.5,2520000
517,2520000
517.5,2520000
518,2520000
518.5,2510000
519,2510000
519.5,2500000
520,2500000
520.5,2500000
521,2490000
521.5,2490000
522,2490000
522.5,2480000
523,2470000
523.5,2460000
524,2460000
524.5,2450000
525,2440000
525.5,2430000
526,2430000
526.5,2420000
527,2410000
527.5,2390000
528,2380000
528.5,2380000
529,2370000
529.5,2350000
530,2340000
530.5,2330000
531,2320000
531.5,2310000
532,2300000
532.5,2290000
533,2280000
533.5,2270000
534,2260000
534.5,2240000
535,2230000
535.5,2220000
536,2210000
536.5,2200000
537,2190000
537.5,2180000
538,2170000
538.5,2150000
539,2150000
539.5,2130000
540,2120000
540.5,2110000
541,2100000
541.5,2090000
542,2070000
542.5,2060000
543,2050000
543.5,2040000
544,2020000
544.5,2010000
545,2e+06
545.5,1980000
546,1970000
546.5,1960000
547,1950000
547.5,1940000
548,1920000
548.5,1910000
549,1890000
549.5,1880000
550,1870000
550.5,1850000
551,1840000
551.5,1830000
552,1810000
552.5,1800000
553,1790000
553.5,1770000
554,1760000
554.5,1750000
555,1730000
555.5,1720000
556,1700000
556.5,1690000
557,1680000
557.5,1660000
558,1650000
558.5,1630000
559,1620000
559.5,1600000
560,1590000
560.5,1570000
561,1560000
561.5,1550000
562,1530000
562.5,1510000
563,1500000
563.5,1490000
564,1470000
564.5,1460000
565,1440000
565.5,1430000
566,1410000
566.5,1400000
567,1380000
567.5,1370000
568,1360000
568.5,1340000
569,1320000
569.5,1310000
570,1300000
570.5,1280000
571,1270000
571.5,1250000
572,1240000
572.5,1230000
573,1210000
573.5,1200000
574,1190000
574.5,1170000
575,1160000
575.5,1150000
576,1140000
576.5,1130000
577,1110000
577.5,1100000
578,1090000
578.5,1070000
579,1060000
579.5,1050000
580,1040000
580.5,1030000
581,1020000
581.5,1010000
582,999851
582.5,990151
583,981330
583.5,969369
584,963188
584.5,953314
585,944480
585.5,936808
586,927277
586.5,920672
587,914825
587.5,906393
588,898341
588.5,895484
589,887220
589.5,880849
590,875311
590.5,871439
591,864690
591.5,859601
592,853829
592.5,848985
593,846419
593.5,842573
594,837848
594.5,832329
595,830030
595.5,826815
596,823333
596.5,820343
597,816289
597.5,815732
598,811710
598.5,808598
599,807251
599.5,803748
600,801843
600.5,799403
601,797705
601.5,797093
602,795528
602.5,794917
603,793209
603.5,791924
604,791641
604.5,790318
605,788012
605.5,788340
606,786879
606.5,786389
607,785477
607.5,784128
608,785855
608.5,784190
609,785007
609.5,783481
610,783627
610.5,782478
611,782736
611.5,783772
612,781628
612.5,783394
613,781985
613.5,783104
614,781625
614.5,782080
615,781116
615.5,782917
616,783808
616.5,783556
617,783093
617.5,785271
618,782809
618.5,783452
619,784677
619.5,784009
620,783853
620.5,785456
621,785342
621.5,784484
622,784828
622.5,784766
623,785285
623.5,785721
624,785710
624.5,785536
625,784990
625.5,784712
626,785429
626.5,785612
627,785027
627.5,786781
628,785290
628.5,786195
629,786167
629.5,787319
630,787022
630.5,787442
631,788216
631.5,787896
632,787593
632.5,789593
633,786646
633.5,788522
634,787851
634.5,786303
635,787518
635.5,788044
636,788958
636.5,787513
637,788807
637.5,786664
638,785979
638.5,785100
639,787354
639.5,786109
640,786387
640.5,786808
641,786547
641.5,784910
642,786386
642.5,786996
643,784651
643.5,786542
644,784797
644.5,786475
645,786675
645.5,783648
646,783464
646.5,783923
647,781470
647.5,782271
648,781657
648.5,781556
649,781018
649.5,781111
650,782640
650.5,782781
651,780668
651.5,782078
652,782067
652.5,782978
653,783613
653.5,781995
654,780978
654.5,782974
655,783434
655.5,782644
656,784459
656.5,783475
657,785646
657.5,786377
658,786274
658.5,787569
659,788687
659.5,789298
660,788885
660.5,791964
661,790963
661.5,791621
662,794188
662.5,795396
663,796118
663.5,799837
664,801732
664.5,804432
665,804858
665.5,807140
666,808190
666.5,812131
667,814844
667.5,815526
668,819123
668.5,819251
669,823121
669.5,825891
670,829397
670.5,831021
671,836490
671.5,838174
672,841717
672.5,845623
