"V1","V2"
273,32
273.5,42
274,26
274.5,47
275,35
275.5,24
276,37
276.5,27
277,31
277.5,54
278,29
278.5,43
279,42
279.5,29
280,40
280.5,36
281,21
281.5,25
282,38
282.5,21
283,29
283.5,31
284,33
284.5,28
285,36
285.5,33
286,28
286.5,25
287,30
287.5,33
288,32
288.5,31
289,38
289.5,23
290,37
290.5,27
291,24
291.5,36
292,34
292.5,22
293,26
293.5,36
294,40
294.5,29
295,40
295.5,30
296,29
296.5,21
297,28
297.5,30
298,26
298.5,29
299,32
299.5,36
300,32
300.5,18
301,19
301.5,25
302,35
302.5,24
303,28
303.5,30
304,29
304.5,32
305,39
305.5,19
306,17
306.5,33
307,22
307.5,30
308,20
308.5,30
309,25
309.5,33
310,30
310.5,32
311,24
311.5,22
312,34
312.5,31
313,38
313.5,37
314,24
314.5,28
315,33
315.5,35
316,26
316.5,35
317,26
317.5,30
318,25
318.5,29
319,29
319.5,39
320,31
320.5,35
321,30
321.5,22
322,31
322.5,36
323,24
323.5,32
324,31
324.5,20
325,27
325.5,29
326,23
326.5,22
327,22
327.5,26
328,31
328.5,33
329,31
329.5,25
330,28
330.5,26
331,20
331.5,20
332,33
332.5,25
333,29
333.5,38
334,31
334.5,22
335,29
335.5,21
336,21
336.5,30
337,24
337.5,26
338,34
338.5,31
339,25
339.5,39
340,28
340.5,27
341,23
341.5,25
342,38
342.5,23
343,40
343.5,23
344,20
344.5,36
345,25
345.5,35
346,35
346.5,30
347,34
347.5,28
348,34
348.5,30
349,43
349.5,39
350,40
350.5,42
351,42
351.5,32
352,47
352.5,46
353,34
353.5,40
354,40
354.5,46
355,53
355.5,46
356,40
356.5,42
357,52
357.5,44
358,37
358.5,44
359,47
359.5,52
360,60
360.5,56
361,63
361.5,62
362,68
362.5,55
363,68
363.5,55
364,57
364.5,55
365,75
365.5,79
366,73
366.5,62
367,69
367.5,83
368,85
368.5,93
369,103
369.5,88
370,85
370.5,94
371,107
371.5,120
372,102
372.5,107
373,126
373.5,116
374,120
374.5,128
375,128
375.5,151
376,154
376.5,142
377,169
377.5,171
378,179
378.5,183
379,186
379.5,220
380,188
380.5,240
381,257
381.5,248
382,245
382.5,245
383,239
383.5,296
384,308
384.5,302
385,348
385.5,330
386,342
386.5,364
387,400
387.5,404
388,424
388.5,441
389,424
389.5,491
390,512
390.5,527
391,554
391.5,571
392,575
392.5,612
393,613
393.5,632
394,694
394.5,722
395,791
395.5,809
396,803
396.5,856
397,918
397.5,917
398,981
398.5,1024
399,1098
399.5,1108
400,1147
400.5,1280
401,1271
401.5,1325
402,1351
402.5,1450
403,1559
403.5,1551
404,1716
404.5,1647
405,1794
405.5,1799
406,1868
406.5,1995
407,2061
407.5,2222
408,2276
408.5,2493
409,2572
409.5,2641
410,2643
410.5,2807
411,2825
411.5,3036
412,3162
412.5,3287
413,3445
413.5,3697
414,3635
414.5,3928
415,3975
415.5,4198
416,4338
416.5,4613
417,4629
417.5,5037
418,5200
418.5,5330
419,5440
419.5,5695
420,5907
420.5,6086
421,6460
421.5,6566
422,6947
422.5,7193
423,7459
423.5,7758
424,7959
424.5,8262
425,8473
425.5,8873
426,9007
426.5,9571
427,10006
427.5,10182
428,10497
428.5,10866
429,11435
429.5,11697
430,11943
430.5,12511
431,12945
431.5,13364
432,13691
432.5,14425
433,14820
433.5,15151
434,15461
434.5,15930
435,16408
435.5,16719
436,17355
436.5,17769
437,18398
437.5,18997
438,19390
438.5,19688
439,20488
439.5,20998
440,21403
440.5,22280
441,22639
441.5,23054
442,23550
442.5,24141
443,25099
443.5,25561
444,25848
444.5,26122
445,27369
445.5,27440
446,28124
446.5,28505
447,29216
447.5,29481
448,30271
448.5,30980
449,31151
449.5,31772
450,32359
450.5,32784
451,32883
451.5,33726
452,34079
452.5,34738
453,34628
453.5,35276
454,35494
454.5,35960
455,36493
455.5,36885
456,37050
456.5,36995
457,37337
457.5,37698
458,37775
458.5,37605
459,38113
459.5,38299
460,38357
460.5,38264
461,37854
461.5,37979
462,37453
462.5,37640
463,37479
463.5,37345
464,37066
464.5,36553
465,36289
465.5,36218
466,35092
466.5,34749
467,34307
467.5,33769
468,33037
468.5,32627
469,31405
469.5,30590
470,30162
470.5,29508
471,28455
471.5,27324
472,26618
472.5,25926
473,24741
473.5,23659
474,23039
474.5,21648
475,21096
475.5,19974
476,19034
476.5,18143
477,16916
477.5,16076
478,15227
478.5,14217
479,13245
479.5,12472
480,11481
480.5,10790
481,10106
481.5,9219
482,8443
482.5,7976
483,7241
483.5,6625
484,5978
484.5,5567
485,5084
485.5,4506
486,4157
486.5,3909
487,3421
487.5,3248
488,2827
488.5,2765
489,2452
489.5,2340
490,2167
490.5,1975
491,1857
491.5,1803
492,1605
492.5,1539
493,1477
493.5,1464
494,1408
494.5,1398
495,1321
495.5,1274
496,1343
496.5,1362
497,1328
497.5,1376
498,1351
498.5,1304
499,1356
499.5,1400
500,1397
500.5,1353
501,1386
501.5,1405
502,1462
502.5,1458
503,1523
503.5,1565
504,1522
504.5,1510
505,1582
505.5,1577
506,1521
506.5,1607
507,1546
507.5,1739
508,1738
508.5,1814
509,1730
509.5,1701
510,1819
510.5,1795
511,1866
511.5,1954
512,1907
512.5,2062
513,2120
513.5,1994
514,2006
514.5,2320
515,2205
515.5,2287
516,2326
516.5,2239
517,2293
517.5,2442
518,2491
518.5,2617
519,2576
519.5,2626
520,2803
520.5,2781
521,2901
521.5,2794
522,3021
522.5,2968
523,3069
523.5,3207
524,3256
524.5,3243
525,3438
525.5,3431
526,3563
526.5,3584
527,3583
527.5,3840
528,3929
528.5,4076
529,4114
529.5,4084
530,4105
530.5,4191
531,4505
531.5,4431
532,4448
532.5,4703
533,4821
533.5,4861
534,4924
534.5,5052
535,5193
535.5,5269
536,5359
536.5,5419
537,5587
537.5,5786
538,5940
538.5,5909
539,5921
539.5,6305
540,6294
540.5,6386
541,6415
541.5,6645
542,6735
542.5,6976
543,7017
543.5,7278
544,7285
544.5,7279
545,7580
545.5,7653
546,7920
546.5,8133
547,8110
547.5,8200
548,8480
548.5,8611
549,8794
549.5,8852
550,9122
550.5,9089
551,9238
551.5,9411
552,9608
552.5,9834
553,9933
553.5,10005
554,10049
554.5,10188
555,10491
555.5,10805
556,10655
556.5,11071
557,11472
557.5,11601
558,11710
558.5,11609
559,11909
559.5,12029
560,12247
560.5,12320
561,12612
561.5,12854
562,12821
562.5,13166
563,13345
563.5,13434
564,13619
564.5,13999
565,14119
565.5,14135
566,14114
566.5,14221
567,14546
567.5,14783
568,14733
568.5,15099
569,15086
569.5,15511
570,15531
570.5,15668
571,15706
571.5,15979
572,15993
572.5,15609
573,16265
573.5,16493
574,16347
574.5,16263
575,16737
575.5,16611
576,16849
576.5,16914
577,17116
577.5,16732
578,16882
578.5,16944
579,16978
579.5,17039
580,17157
580.5,17113
581,17007
581.5,17142
582,16842
582.5,17040
583,17020
583.5,16960
584,16747
584.5,16913
585,16681
