"V1","V2"
273,66
273.5,69
274,74
274.5,72
275,63
275.5,71
276,76
276.5,84
277,74
277.5,81
278,65
278.5,60
279,82
279.5,76
280,71
280.5,53
281,65
281.5,65
282,69
282.5,71
283,72
283.5,69
284,71
284.5,73
285,57
285.5,71
286,76
286.5,70
287,73
287.5,77
288,71
288.5,70
289,66
289.5,72
290,63
290.5,71
291,57
291.5,61
292,57
292.5,74
293,56
293.5,77
294,64
294.5,55
295,70
295.5,68
296,66
296.5,70
297,45
297.5,59
298,65
298.5,66
299,62
299.5,53
300,76
300.5,60
301,66
301.5,58
302,63
302.5,63
303,50
303.5,62
304,52
304.5,62
305,60
305.5,68
306,65
306.5,59
307,56
307.5,67
308,57
308.5,75
309,53
309.5,84
310,63
310.5,57
311,78
311.5,51
312,72
312.5,51
313,70
313.5,58
314,52
314.5,66
315,54
315.5,63
316,69
316.5,62
317,58
317.5,60
318,51
318.5,61
319,55
319.5,62
320,69
320.5,65
321,60
321.5,53
322,56
322.5,71
323,56
323.5,58
324,72
324.5,63
325,53
325.5,50
326,62
326.5,73
327,63
327.5,58
328,44
328.5,60
329,66
329.5,50
330,54
330.5,65
331,58
331.5,59
332,67
332.5,50
333,70
333.5,55
334,49
334.5,67
335,62
335.5,76
336,66
336.5,81
337,63
337.5,74
338,68
338.5,46
339,66
339.5,67
340,59
340.5,68
341,65
341.5,65
342,64
342.5,65
343,64
343.5,58
344,70
344.5,71
345,76
345.5,79
346,62
346.5,73
347,57
347.5,66
348,76
348.5,97
349,84
349.5,84
350,85
350.5,92
351,79
351.5,95
352,72
352.5,105
353,91
353.5,107
354,103
354.5,104
355,108
355.5,122
356,126
356.5,104
357,102
357.5,118
358,128
358.5,141
359,145
359.5,115
360,144
360.5,132
361,133
361.5,148
362,153
362.5,180
363,165
363.5,171
364,172
364.5,204
365,178
365.5,216
366,211
366.5,222
367,211
367.5,224
368,239
368.5,256
369,281
369.5,274
370,300
370.5,287
371,315
371.5,307
372,329
372.5,348
373,387
373.5,320
374,397
374.5,364
375,423
375.5,426
376,443
376.5,464
377,515
377.5,568
378,571
378.5,594
379,602
379.5,649
380,647
380.5,733
381,758
381.5,799
382,759
382.5,795
383,872
383.5,915
384,880
384.5,1007
385,1043
385.5,1144
386,1133
386.5,1136
387,1269
387.5,1295
388,1367
388.5,1433
389,1484
389.5,1582
390,1634
390.5,1772
391,1780
391.5,1859
392,1922
392.5,1983
393,2150
393.5,2209
394,2307
394.5,2423
395,2519
395.5,2626
396,2707
396.5,2911
397,3014
397.5,3144
398,3288
398.5,3398
399,3494
399.5,3831
400,3897
400.5,3994
401,4288
401.5,4456
402,4665
402.5,4758
403,5119
403.5,5165
404,5706
